ACTION QUERY 10000 10 "recycle  automobile tires"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'676244'
ACTION SNIPPET 10000 21 SNIPPET_RELEVANT b'1397341'
ACTION DOC 10000 41 EXAMINING_DOCUMENT b'1397341'
ACTION MARK 10000 44 CONSIDERED_RELEVANT b'1397341'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'487452'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'487452'
ACTION MARK 10000 70 CONSIDERED_RELEVANT b'487452'
ACTION SNIPPET 10000 73 SNIPPET_NOT_RELEVANT b'679902'
ACTION SNIPPET 10000 76 SNIPPET_NOT_RELEVANT b'469810'
ACTION SNIPPET 10000 79 SNIPPET_NOT_RELEVANT b'868264'
ACTION SNIPPET 10000 82 SNIPPET_NOT_RELEVANT b'533990'
ACTION SNIPPET 10000 85 SNIPPET_RELEVANT b'715466'
ACTION DOC 10000 105 EXAMINING_DOCUMENT b'715466'
ACTION MARK 10000 108 CONSIDERED_RELEVANT b'715466'
ACTION SNIPPET 10000 111 SNIPPET_NOT_RELEVANT b'235002'
ACTION SNIPPET 10000 114 SNIPPET_NOT_RELEVANT b'1434175'
ACTION SNIPPET 10000 117 SNIPPET_RELEVANT b'353133'
ACTION DOC 10000 137 EXAMINING_DOCUMENT b'353133'
ACTION MARK 10000 140 CONSIDERED_RELEVANT b'353133'
ACTION SNIPPET 10000 143 SNIPPET_RELEVANT b'1492464'
ACTION DOC 10000 163 EXAMINING_DOCUMENT b'1492464'
ACTION MARK 10000 166 CONSIDERED_RELEVANT b'1492464'
ACTION SNIPPET 10000 169 SNIPPET_NOT_RELEVANT b'1053093'
ACTION SNIPPET 10000 172 SNIPPET_NOT_RELEVANT b'310505'
ACTION SNIPPET 10000 175 SNIPPET_NOT_RELEVANT b'881584'
ACTION SNIPPET 10000 178 SNIPPET_RELEVANT b'351776'
ACTION DOC 10000 198 EXAMINING_DOCUMENT b'351776'
ACTION MARK 10000 201 CONSIDERED_RELEVANT b'351776'
ACTION SNIPPET 10000 204 SNIPPET_NOT_RELEVANT b'1725970'
ACTION SNIPPET 10000 207 SNIPPET_NOT_RELEVANT b'1195518'
