ACTION QUERY 10000 10 food stamps increase
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'fd39a3e8-a250-11e3-84d4-e59b1709222c'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'216260efaa9bc4168fa6ad0fc18fc8eb'
ACTION SNIPPET 10000 24 SNIPPET_NOT_RELEVANT b'abbdd3a35167a6dbc7491f4be7c6eded'
ACTION SNIPPET 10000 27 SNIPPET_RELEVANT b'70a5ff34-41cb-11e3-a624-41d661b0bb78'
ACTION DOC 10000 47 EXAMINING_DOCUMENT b'70a5ff34-41cb-11e3-a624-41d661b0bb78'
ACTION SNIPPET 10000 50 SNIPPET_NOT_RELEVANT b'0d5e994829c3ed41d7e016f711b4cda9'
ACTION SNIPPET 10000 53 SNIPPET_NOT_RELEVANT b'ae473baa82bc53da910dd692583fed2f'
ACTION SNIPPET 10000 56 SNIPPET_NOT_RELEVANT b'23572f40ec4ce5583e783d12f57d75ae'
ACTION SNIPPET 10000 59 SNIPPET_NOT_RELEVANT b'b2577fc3238a9e2ac2b3575965c84090'
ACTION SNIPPET 10000 62 SNIPPET_NOT_RELEVANT b'5da022e634d6c6faf7b7d49a6cb7db7c'
ACTION SNIPPET 10000 65 SNIPPET_NOT_RELEVANT b'6fdc62d37aaf685b809c501abe13c56c'
ACTION SNIPPET 10000 68 SNIPPET_RELEVANT b'bf9d2620-a7c5-11e3-b61e-8051b8b52d06'
ACTION DOC 10000 88 EXAMINING_DOCUMENT b'bf9d2620-a7c5-11e3-b61e-8051b8b52d06'
ACTION MARK 10000 91 CONSIDERED_RELEVANT b'bf9d2620-a7c5-11e3-b61e-8051b8b52d06'
ACTION SNIPPET 10000 94 SNIPPET_RELEVANT b'52c42614-e256-11e2-80eb-3145e2994a55'
ACTION DOC 10000 114 EXAMINING_DOCUMENT b'52c42614-e256-11e2-80eb-3145e2994a55'
ACTION SNIPPET 10000 117 SNIPPET_NOT_RELEVANT b'25efc9909f22f178f770ac9b966cfab2'
ACTION SNIPPET 10000 120 SNIPPET_NOT_RELEVANT b'833c54f5aa936a1bc4bdced512d123af'
ACTION SNIPPET 10000 123 SNIPPET_NOT_RELEVANT b'150e4bfa-a3db-11e3-a5fa-55f0c77bf39c'
ACTION SNIPPET 10000 126 SNIPPET_RELEVANT b'80de73ec3c45427a989a5f288b85b3ec'
ACTION DOC 10000 146 EXAMINING_DOCUMENT b'80de73ec3c45427a989a5f288b85b3ec'
ACTION SNIPPET 10000 149 SNIPPET_RELEVANT b'2ca56f93b52c8b9c0e7a49ccfa4c891b'
ACTION DOC 10000 169 EXAMINING_DOCUMENT b'2ca56f93b52c8b9c0e7a49ccfa4c891b'
ACTION MARK 10000 172 CONSIDERED_RELEVANT b'2ca56f93b52c8b9c0e7a49ccfa4c891b'
ACTION SNIPPET 10000 175 SNIPPET_NOT_RELEVANT b'7305a4d97cddfeff4e862e09d85c24b5'
ACTION SNIPPET 10000 178 SNIPPET_NOT_RELEVANT b'd0f736b8-44c9-11e3-b6f8-3782ff6cb769'
ACTION SNIPPET 10000 181 SNIPPET_NOT_RELEVANT b'aa0cac9796a64191740a07b4f089127a'
ACTION SNIPPET 10000 184 SNIPPET_NOT_RELEVANT b'ee3432ce-eb07-11e2-8f22-de4bd2a2bd39'
ACTION SNIPPET 10000 187 SNIPPET_NOT_RELEVANT b'433368e4a90accd4d9a998f8abfa8760'
ACTION SNIPPET 10000 190 SNIPPET_RELEVANT b'433417acbd7d0487f51b0d5cb0533779'
ACTION DOC 10000 210 EXAMINING_DOCUMENT b'433417acbd7d0487f51b0d5cb0533779'
ACTION MARK 10000 213 CONSIDERED_RELEVANT b'433417acbd7d0487f51b0d5cb0533779'
ACTION SNIPPET 10000 216 SNIPPET_NOT_RELEVANT b'8d354f432853783669c49a129659054b'
ACTION SNIPPET 10000 219 SNIPPET_RELEVANT b'af0aecdc98edafc901de8c9194bc4697'
ACTION DOC 10000 239 EXAMINING_DOCUMENT b'af0aecdc98edafc901de8c9194bc4697'
ACTION SNIPPET 10000 242 SNIPPET_NOT_RELEVANT b'a6faf28bf691bfcb5bcd7f15b890b1f0'
