ACTION QUERY 10000 10 postmenopausal estrogen Britain
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1587072'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1587072'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1587072'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'1280589'
ACTION SNIPPET 10000 47 SNIPPET_NOT_RELEVANT b'768937'
ACTION SNIPPET 10000 50 SNIPPET_NOT_RELEVANT b'16397'
ACTION SNIPPET 10000 53 SNIPPET_NOT_RELEVANT b'290162'
ACTION SNIPPET 10000 56 SNIPPET_NOT_RELEVANT b'837869'
ACTION SNIPPET 10000 59 SNIPPET_NOT_RELEVANT b'608952'
ACTION SNIPPET 10000 62 SNIPPET_NOT_RELEVANT b'1575489'
ACTION SNIPPET 10000 65 SNIPPET_NOT_RELEVANT b'888096'
ACTION SNIPPET 10000 68 SNIPPET_NOT_RELEVANT b'977697'
ACTION SNIPPET 10000 71 SNIPPET_NOT_RELEVANT b'918568'
ACTION SNIPPET 10000 74 SNIPPET_NOT_RELEVANT b'893402'
ACTION SNIPPET 10000 77 SNIPPET_NOT_RELEVANT b'819667'
ACTION SNIPPET 10000 80 SNIPPET_NOT_RELEVANT b'497560'
ACTION SNIPPET 10000 83 SNIPPET_NOT_RELEVANT b'1172980'
ACTION SNIPPET 10000 86 SNIPPET_NOT_RELEVANT b'1403324'
ACTION SNIPPET 10000 89 SNIPPET_NOT_RELEVANT b'953290'
ACTION SNIPPET 10000 92 SNIPPET_NOT_RELEVANT b'529968'
ACTION SNIPPET 10000 95 SNIPPET_NOT_RELEVANT b'1565425'
ACTION SNIPPET 10000 98 SNIPPET_NOT_RELEVANT b'951719'
ACTION SNIPPET 10000 101 SNIPPET_NOT_RELEVANT b'726098'
ACTION SNIPPET 10000 104 SNIPPET_NOT_RELEVANT b'880697'
ACTION SNIPPET 10000 107 SNIPPET_NOT_RELEVANT b'737599'
ACTION SNIPPET 10000 110 SNIPPET_NOT_RELEVANT b'939133'
ACTION SNIPPET 10000 113 SNIPPET_NOT_RELEVANT b'177161'
ACTION SNIPPET 10000 116 SNIPPET_NOT_RELEVANT b'1279514'
ACTION SNIPPET 10000 119 SNIPPET_NOT_RELEVANT b'1563456'
ACTION SNIPPET 10000 122 SNIPPET_NOT_RELEVANT b'997663'
ACTION SNIPPET 10000 125 SNIPPET_NOT_RELEVANT b'278012'
ACTION SNIPPET 10000 128 SNIPPET_NOT_RELEVANT b'1606158'
ACTION SNIPPET 10000 131 SNIPPET_NOT_RELEVANT b'536440'
