ACTION QUERY 10000 10 ocean remote sensing
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'1719498'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'64937'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'866933'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'866933'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'1350333'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'1350333'
ACTION SNIPPET 10000 70 SNIPPET_NOT_RELEVANT b'114396'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'1320501'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'1320501'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'573021'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'748248'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'748248'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1060394'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1060394'
ACTION QUERY 10000 152 oceanography remote sensing
ACTION SERP 10000 157 EXAMINE_SERP
ACTION SNIPPET 10000 160 SNIPPET_RELEVANT b'573021'
ACTION DOC 10000 180 EXAMINING_DOCUMENT b'573021'
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'64937'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'64937'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'294211'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'294211'
ACTION SNIPPET 10000 229 SNIPPET_NOT_RELEVANT b'1103101'
ACTION SNIPPET 10000 232 SNIPPET_NOT_RELEVANT b'217564'
ACTION SNIPPET 10000 235 SNIPPET_NOT_RELEVANT b'570267'
ACTION SNIPPET 10000 238 SNIPPET_RELEVANT b'31566'
ACTION DOC 10000 258 EXAMINING_DOCUMENT b'31566'
ACTION SNIPPET 10000 261 SNIPPET_NOT_RELEVANT b'1288402'
ACTION SNIPPET 10000 264 SNIPPET_NOT_RELEVANT b'708313'
ACTION QUERY 10000 274 oceanographic remote sensing
ACTION SERP 10000 279 EXAMINE_SERP
ACTION SNIPPET 10000 282 SNIPPET_NOT_RELEVANT b'59192'
ACTION SNIPPET 10000 285 SEEN_PREVIOUSLY b'64937'
ACTION SNIPPET 10000 288 SNIPPET_RELEVANT b'407762'
ACTION DOC 10000 308 EXAMINING_DOCUMENT b'407762'
ACTION MARK 10000 311 CONSIDERED_RELEVANT b'407762'
ACTION SNIPPET 10000 314 SNIPPET_NOT_RELEVANT b'594981'
ACTION SNIPPET 10000 317 SEEN_PREVIOUSLY b'1320501'
ACTION SNIPPET 10000 320 SNIPPET_NOT_RELEVANT b'474423'
