ACTION QUERY 10000 10 Health and Computer Terminals
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'e83b6fd7c5b836173bac6281355c8a15'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'dc9ab93e-cf87-11e2-8f6b-67f40e176f03'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'a0fd6ff2-8770-11e2-98a3-b3db6b9ac586'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'a0fd6ff2-8770-11e2-98a3-b3db6b9ac586'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'705f3be39cc3199b4c887408728ff451'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'705f3be39cc3199b4c887408728ff451'
ACTION SNIPPET 10000 70 SNIPPET_NOT_RELEVANT b'701de1e961511cfa776e1bf3dd5de1cf'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'c5e7e4be9c9ee0ee51f1703d10b7880b'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'c5e7e4be9c9ee0ee51f1703d10b7880b'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'555485fe-b8f8-11e2-92f3-f291801936b8'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'8896b87155e505f5077f60864b5c23d9'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'8896b87155e505f5077f60864b5c23d9'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'7352e7a4-4001-11e3-a751-f032898f2dbc'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'7352e7a4-4001-11e3-a751-f032898f2dbc'
ACTION QUERY 10000 152 Ergonomic keyboard
ACTION SERP 10000 157 EXAMINE_SERP
ACTION SNIPPET 10000 160 SNIPPET_RELEVANT b'a4acb7fe-3081-11e5-8f36-18d1d501920d'
ACTION DOC 10000 180 EXAMINING_DOCUMENT b'a4acb7fe-3081-11e5-8f36-18d1d501920d'
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'df070c7c-0afd-11e6-a6b6-2e6de3695b0e'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'df070c7c-0afd-11e6-a6b6-2e6de3695b0e'
ACTION MARK 10000 206 CONSIDERED_RELEVANT b'df070c7c-0afd-11e6-a6b6-2e6de3695b0e'
ACTION SNIPPET 10000 209 SNIPPET_RELEVANT b'fc0efbd4-e5c2-11e3-afc6-a1dd9407abcf'
ACTION DOC 10000 229 EXAMINING_DOCUMENT b'fc0efbd4-e5c2-11e3-afc6-a1dd9407abcf'
