ACTION QUERY 10000 10 law enforcement dogs
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'5b14e1ac12258322fd8a3990ff811651'
ACTION SNIPPET 10000 21 SNIPPET_RELEVANT b'ed263256-8a37-11e6-bff0-d53f592f176e'
ACTION DOC 10000 41 EXAMINING_DOCUMENT b'ed263256-8a37-11e6-bff0-d53f592f176e'
ACTION MARK 10000 44 CONSIDERED_RELEVANT b'ed263256-8a37-11e6-bff0-d53f592f176e'
ACTION SNIPPET 10000 47 SNIPPET_NOT_RELEVANT b'e9943fbe-d613-11e3-8f7d-7786660fff7c'
ACTION SNIPPET 10000 50 SNIPPET_RELEVANT b'1d7acbe4-959d-11e2-b6f0-a5150a247b6a'
ACTION DOC 10000 70 EXAMINING_DOCUMENT b'1d7acbe4-959d-11e2-b6f0-a5150a247b6a'
ACTION MARK 10000 73 CONSIDERED_RELEVANT b'1d7acbe4-959d-11e2-b6f0-a5150a247b6a'
ACTION SNIPPET 10000 76 SNIPPET_NOT_RELEVANT b'9ac63c22-98a0-11e2-814b-063623d80a60'
ACTION SNIPPET 10000 79 SNIPPET_NOT_RELEVANT b'cca075ec5ff4f899979ff1121014c979'
ACTION SNIPPET 10000 82 SNIPPET_NOT_RELEVANT b'0e60708502c9bf45133472680e59de21'
ACTION SNIPPET 10000 85 SNIPPET_NOT_RELEVANT b'25266d02-5c77-11e3-bc56-c6ca94801fac'
ACTION SNIPPET 10000 88 SNIPPET_RELEVANT b'65b25f34-f810-11e5-9804-537defcc3cf6'
ACTION DOC 10000 108 EXAMINING_DOCUMENT b'65b25f34-f810-11e5-9804-537defcc3cf6'
ACTION MARK 10000 111 CONSIDERED_RELEVANT b'65b25f34-f810-11e5-9804-537defcc3cf6'
ACTION SNIPPET 10000 114 SNIPPET_RELEVANT b'2f0a1910491066646209d42a0f8cb03c'
ACTION DOC 10000 134 EXAMINING_DOCUMENT b'2f0a1910491066646209d42a0f8cb03c'
ACTION MARK 10000 137 CONSIDERED_RELEVANT b'2f0a1910491066646209d42a0f8cb03c'
ACTION SNIPPET 10000 140 SNIPPET_NOT_RELEVANT b'6d6beb40fa4dbf0a3a1e9bf8806b92cb'
ACTION SNIPPET 10000 143 SNIPPET_RELEVANT b'5b181110-2125-11e2-8448-81b1ce7d6978'
ACTION DOC 10000 163 EXAMINING_DOCUMENT b'5b181110-2125-11e2-8448-81b1ce7d6978'
ACTION MARK 10000 166 CONSIDERED_RELEVANT b'5b181110-2125-11e2-8448-81b1ce7d6978'
ACTION SNIPPET 10000 169 SNIPPET_NOT_RELEVANT b'614a165b664583c3bf26de02dd6c883e'
ACTION SNIPPET 10000 172 SNIPPET_NOT_RELEVANT b'0fb98150-a456-11e1-8cb3-5fa3850c30f7'
ACTION SNIPPET 10000 175 SNIPPET_NOT_RELEVANT b'2f54b54d8cdbf864a0f9caf9f8afb835'
ACTION SNIPPET 10000 178 SNIPPET_RELEVANT b'5a524a54-658e-11e2-889b-f23c246aa446'
ACTION DOC 10000 198 EXAMINING_DOCUMENT b'5a524a54-658e-11e2-889b-f23c246aa446'
ACTION SNIPPET 10000 201 SNIPPET_NOT_RELEVANT b'1205b9a8e33e4fd45eaae31cdb8c6ddd'
ACTION SNIPPET 10000 204 SNIPPET_NOT_RELEVANT b'c678c570d95db9c1a78f8de1fefaac9c'
ACTION SNIPPET 10000 207 SNIPPET_NOT_RELEVANT b'e74e657e04265c355c4c10815558e043'
ACTION SNIPPET 10000 210 SNIPPET_NOT_RELEVANT b'f049431f849489a36943578a753fd63c'
ACTION SNIPPET 10000 213 SNIPPET_RELEVANT b'4ac2e312-dcf0-11e2-9218-bc2ac7cd44e2'
ACTION DOC 10000 233 EXAMINING_DOCUMENT b'4ac2e312-dcf0-11e2-9218-bc2ac7cd44e2'
ACTION MARK 10000 236 CONSIDERED_RELEVANT b'4ac2e312-dcf0-11e2-9218-bc2ac7cd44e2'
ACTION SNIPPET 10000 239 SNIPPET_NOT_RELEVANT b'db7eb9b8-dcf4-11e2-9218-bc2ac7cd44e2'
ACTION SNIPPET 10000 242 SNIPPET_NOT_RELEVANT b'938661212e8cc31aaa9c7caf3abc6b7d'
ACTION SNIPPET 10000 245 SNIPPET_NOT_RELEVANT b'630e179e-1dc4-11e6-b6e0-c53b7ef63b45'
ACTION SNIPPET 10000 248 SNIPPET_RELEVANT b'11133824-60a2-11e4-91f7-5d89b5e8c251'
ACTION DOC 10000 268 EXAMINING_DOCUMENT b'11133824-60a2-11e4-91f7-5d89b5e8c251'
ACTION SNIPPET 10000 271 SNIPPET_NOT_RELEVANT b'7ed6d4c6-df0c-11e5-846c-10191d1fc4ec'
ACTION SNIPPET 10000 274 SNIPPET_NOT_RELEVANT b'48828f58a0ad45d80fcb80f075f5067a'
ACTION SNIPPET 10000 277 SNIPPET_NOT_RELEVANT b'60011f8c-a593-11e5-b53d-972e2751f433'
ACTION SNIPPET 10000 280 SNIPPET_RELEVANT b'33d65728abd80c6f6fe0369e2e0c24e8'
ACTION DOC 10000 300 EXAMINING_DOCUMENT b'33d65728abd80c6f6fe0369e2e0c24e8'
ACTION MARK 10000 303 CONSIDERED_RELEVANT b'33d65728abd80c6f6fe0369e2e0c24e8'
ACTION SNIPPET 10000 306 SNIPPET_NOT_RELEVANT b'a9970266-09be-11e7-93dc-00f9bdd74ed1'
ACTION SNIPPET 10000 309 SNIPPET_NOT_RELEVANT b'3e167c225e8a6989d9858a38df281b9a'
ACTION SNIPPET 10000 312 SNIPPET_NOT_RELEVANT b'86feca9c-aa98-11e2-9493-2ff3bf26c4b4'
ACTION SNIPPET 10000 315 SNIPPET_RELEVANT b'cd0ecee2-8956-11e6-bff0-d53f592f176e'
ACTION DOC 10000 335 EXAMINING_DOCUMENT b'cd0ecee2-8956-11e6-bff0-d53f592f176e'
ACTION MARK 10000 338 CONSIDERED_RELEVANT b'cd0ecee2-8956-11e6-bff0-d53f592f176e'
ACTION SNIPPET 10000 341 SNIPPET_RELEVANT b'13afe080-50ae-11e5-933e-7d06c647a395'
ACTION DOC 10000 361 EXAMINING_DOCUMENT b'13afe080-50ae-11e5-933e-7d06c647a395'
ACTION MARK 10000 364 CONSIDERED_RELEVANT b'13afe080-50ae-11e5-933e-7d06c647a395'
ACTION SNIPPET 10000 367 SNIPPET_NOT_RELEVANT b'32b21f158aec7bdbb77d13e672405e1c'
ACTION SNIPPET 10000 370 SNIPPET_NOT_RELEVANT b'c724e4ac-4810-11e7-bcde-624ad94170ab'
ACTION SNIPPET 10000 373 SNIPPET_NOT_RELEVANT b'b588cd34cdd0ce2bdc86bfacf4b31992'
ACTION SNIPPET 10000 376 SNIPPET_NOT_RELEVANT b'7e87a173e0e213aaa7529132464460ed'
ACTION SNIPPET 10000 379 SNIPPET_NOT_RELEVANT b'080179c1cf2b97f2ee5a126608261ea1'
ACTION SNIPPET 10000 382 SNIPPET_NOT_RELEVANT b'6833ee9c-c1aa-11e3-b195-dd0c1174052c'
ACTION SNIPPET 10000 385 SNIPPET_NOT_RELEVANT b'983b73e0ebee060f219fd6210d65d524'
ACTION SNIPPET 10000 388 SNIPPET_RELEVANT b'd9b0ef72a2367d64a087959c65ebb09b'
ACTION DOC 10000 408 EXAMINING_DOCUMENT b'd9b0ef72a2367d64a087959c65ebb09b'
ACTION MARK 10000 411 CONSIDERED_RELEVANT b'd9b0ef72a2367d64a087959c65ebb09b'
ACTION SNIPPET 10000 414 SNIPPET_RELEVANT b'befaf098-fdb9-11e5-80e4-c381214de1a3'
ACTION DOC 10000 434 EXAMINING_DOCUMENT b'befaf098-fdb9-11e5-80e4-c381214de1a3'
ACTION MARK 10000 437 CONSIDERED_RELEVANT b'befaf098-fdb9-11e5-80e4-c381214de1a3'
ACTION SNIPPET 10000 440 SNIPPET_RELEVANT b'46a0c996-5e96-11e5-9757-e49273f05f65'
ACTION DOC 10000 460 EXAMINING_DOCUMENT b'46a0c996-5e96-11e5-9757-e49273f05f65'
ACTION SNIPPET 10000 463 SNIPPET_NOT_RELEVANT b'55e1048010e9b3b14da17971eb1ac222'
ACTION SNIPPET 10000 466 SNIPPET_NOT_RELEVANT b'c92f652a-5d09-11e7-a9f6-7c3296387341'
ACTION SNIPPET 10000 469 SNIPPET_NOT_RELEVANT b'f4d4364e-688e-11e1-9210-0b8d0e6543cc'
ACTION SNIPPET 10000 472 SNIPPET_RELEVANT b'81ece3f4-5ac3-11e4-b812-38518ae74c67'
ACTION DOC 10000 492 EXAMINING_DOCUMENT b'81ece3f4-5ac3-11e4-b812-38518ae74c67'
ACTION MARK 10000 495 CONSIDERED_RELEVANT b'81ece3f4-5ac3-11e4-b812-38518ae74c67'
ACTION SNIPPET 10000 498 SNIPPET_RELEVANT b'428f9824-f78d-11e5-a3ce-f06b5ba21f33'
ACTION DOC 10000 518 EXAMINING_DOCUMENT b'428f9824-f78d-11e5-a3ce-f06b5ba21f33'
ACTION SNIPPET 10000 521 SNIPPET_NOT_RELEVANT b'0c2bfbec-29ef-11e3-8ade-a1f23cda135e'
INFO SERP_END_REACHED 
ACTION QUERY 10000 531 law enforcement dogs training
ACTION SERP 10000 536 EXAMINE_SERP
ACTION SNIPPET 10000 539 SNIPPET_NOT_RELEVANT b'614a165b664583c3bf26de02dd6c883e'
ACTION SNIPPET 10000 542 SEEN_PREVIOUSLY b'428f9824-f78d-11e5-a3ce-f06b5ba21f33'
ACTION SNIPPET 10000 545 SNIPPET_NOT_RELEVANT b'7ed6d4c6-df0c-11e5-846c-10191d1fc4ec'
ACTION SNIPPET 10000 548 SNIPPET_NOT_RELEVANT b'1c91d3d5944ceaa728abe3039db09638'
ACTION SNIPPET 10000 551 SEEN_PREVIOUSLY b'46a0c996-5e96-11e5-9757-e49273f05f65'
ACTION SNIPPET 10000 554 SNIPPET_NOT_RELEVANT b'630e179e-1dc4-11e6-b6e0-c53b7ef63b45'
ACTION SNIPPET 10000 557 SNIPPET_NOT_RELEVANT b'5b14e1ac12258322fd8a3990ff811651'
ACTION SNIPPET 10000 560 SNIPPET_NOT_RELEVANT b'59ad3ef6208079088e492887d180c3de'
ACTION SNIPPET 10000 563 SNIPPET_NOT_RELEVANT b'e9943fbe-d613-11e3-8f7d-7786660fff7c'
ACTION SNIPPET 10000 566 SNIPPET_NOT_RELEVANT b'55e1048010e9b3b14da17971eb1ac222'
ACTION SNIPPET 10000 569 SNIPPET_NOT_RELEVANT b'816a40fad2afa59004397d1b0f99ac3c'
ACTION SNIPPET 10000 572 SNIPPET_RELEVANT b'ea1b2df4-ee42-11e6-9973-c5efb7ccfb0d'
ACTION DOC 10000 592 EXAMINING_DOCUMENT b'ea1b2df4-ee42-11e6-9973-c5efb7ccfb0d'
ACTION QUERY 10000 602 law enforcement dogs worldwide
ACTION SERP 10000 607 EXAMINE_SERP
ACTION SNIPPET 10000 610 SNIPPET_NOT_RELEVANT b'205ef4e2-130d-11e7-bb16-269934184168'
ACTION SNIPPET 10000 613 SNIPPET_NOT_RELEVANT b'a1dd0f6e4795112d15a67af0f9463b4e'
ACTION SNIPPET 10000 616 SNIPPET_NOT_RELEVANT b'5b14e1ac12258322fd8a3990ff811651'
ACTION SNIPPET 10000 619 SNIPPET_RELEVANT b'e9943fbe-d613-11e3-8f7d-7786660fff7c'
ACTION DOC 10000 639 EXAMINING_DOCUMENT b'e9943fbe-d613-11e3-8f7d-7786660fff7c'
ACTION SNIPPET 10000 642 SNIPPET_NOT_RELEVANT b'9ac63c22-98a0-11e2-814b-063623d80a60'
ACTION SNIPPET 10000 645 SNIPPET_NOT_RELEVANT b'cca075ec5ff4f899979ff1121014c979'
ACTION SNIPPET 10000 648 SNIPPET_NOT_RELEVANT b'0e60708502c9bf45133472680e59de21'
ACTION SNIPPET 10000 651 SNIPPET_NOT_RELEVANT b'32376b76-977d-11e4-8385-866293322c2f'
ACTION SNIPPET 10000 654 SNIPPET_NOT_RELEVANT b'25266d02-5c77-11e3-bc56-c6ca94801fac'
ACTION QUERY 10000 664 law enforcement dogs handlers
ACTION SERP 10000 669 EXAMINE_SERP
ACTION SNIPPET 10000 672 SNIPPET_NOT_RELEVANT b'7bed6ca785ddbc3a41189e966cdc87c5'
ACTION SNIPPET 10000 675 SNIPPET_NOT_RELEVANT b'1c91d3d5944ceaa728abe3039db09638'
ACTION SNIPPET 10000 678 SNIPPET_NOT_RELEVANT b'7ed6d4c6-df0c-11e5-846c-10191d1fc4ec'
ACTION SNIPPET 10000 681 SNIPPET_RELEVANT b'564bcf4c-c4c1-11e2-9fe2-6ee52d0eb7c1'
ACTION DOC 10000 701 EXAMINING_DOCUMENT b'564bcf4c-c4c1-11e2-9fe2-6ee52d0eb7c1'
ACTION MARK 10000 704 CONSIDERED_RELEVANT b'564bcf4c-c4c1-11e2-9fe2-6ee52d0eb7c1'
ACTION SNIPPET 10000 707 SEEN_PREVIOUSLY b'46a0c996-5e96-11e5-9757-e49273f05f65'
ACTION SNIPPET 10000 710 SNIPPET_RELEVANT b'0c306522-fb7c-11e5-80e4-c381214de1a3'
ACTION DOC 10000 730 EXAMINING_DOCUMENT b'0c306522-fb7c-11e5-80e4-c381214de1a3'
ACTION MARK 10000 733 CONSIDERED_RELEVANT b'0c306522-fb7c-11e5-80e4-c381214de1a3'
ACTION SNIPPET 10000 736 SNIPPET_RELEVANT b'deabc84a-2001-11e5-bf41-c23f5d3face1'
ACTION DOC 10000 756 EXAMINING_DOCUMENT b'deabc84a-2001-11e5-bf41-c23f5d3face1'
ACTION MARK 10000 759 CONSIDERED_RELEVANT b'deabc84a-2001-11e5-bf41-c23f5d3face1'
ACTION SNIPPET 10000 762 SNIPPET_NOT_RELEVANT b'30d9c95c2189d9a244aec125e72f5b30'
ACTION SNIPPET 10000 765 SNIPPET_RELEVANT b'd71a81b4-c313-11e6-9a51-cd56ea1c2bb7'
ACTION DOC 10000 785 EXAMINING_DOCUMENT b'd71a81b4-c313-11e6-9a51-cd56ea1c2bb7'
ACTION MARK 10000 788 CONSIDERED_RELEVANT b'd71a81b4-c313-11e6-9a51-cd56ea1c2bb7'
ACTION SNIPPET 10000 791 SNIPPET_NOT_RELEVANT b'17ded6a64965900fb16e7e0cb9f8f3a8'
ACTION SNIPPET 10000 794 SNIPPET_RELEVANT b'9476cada-5ec9-11e4-91f7-5d89b5e8c251'
ACTION DOC 10000 814 EXAMINING_DOCUMENT b'9476cada-5ec9-11e4-91f7-5d89b5e8c251'
ACTION MARK 10000 817 CONSIDERED_RELEVANT b'9476cada-5ec9-11e4-91f7-5d89b5e8c251'
ACTION SNIPPET 10000 820 SNIPPET_RELEVANT b'e19f8b83446c8fe6a568ec438964a2d8'
ACTION DOC 10000 840 EXAMINING_DOCUMENT b'e19f8b83446c8fe6a568ec438964a2d8'
ACTION MARK 10000 843 CONSIDERED_RELEVANT b'e19f8b83446c8fe6a568ec438964a2d8'
ACTION SNIPPET 10000 846 SNIPPET_RELEVANT b'f4d4364e-688e-11e1-9210-0b8d0e6543cc'
ACTION DOC 10000 866 EXAMINING_DOCUMENT b'f4d4364e-688e-11e1-9210-0b8d0e6543cc'
ACTION SNIPPET 10000 869 SNIPPET_NOT_RELEVANT b'549126d9e4f5b8cfa1593e0f0ced34ea'
ACTION SNIPPET 10000 872 SNIPPET_RELEVANT b'26e11d98-b983-11e5-829c-26ffb874a18d'
ACTION DOC 10000 892 EXAMINING_DOCUMENT b'26e11d98-b983-11e5-829c-26ffb874a18d'
ACTION MARK 10000 895 CONSIDERED_RELEVANT b'26e11d98-b983-11e5-829c-26ffb874a18d'
ACTION SNIPPET 10000 898 SNIPPET_RELEVANT b'c8d0f8f0-8f44-11e3-84e1-27626c5ef5fb'
ACTION DOC 10000 918 EXAMINING_DOCUMENT b'c8d0f8f0-8f44-11e3-84e1-27626c5ef5fb'
ACTION MARK 10000 921 CONSIDERED_RELEVANT b'c8d0f8f0-8f44-11e3-84e1-27626c5ef5fb'
ACTION SNIPPET 10000 924 SNIPPET_NOT_RELEVANT b'f45dad92-22b2-11e2-ac85-e669876c6a24'
ACTION SNIPPET 10000 927 SNIPPET_NOT_RELEVANT b'bee26964-f1fc-11e6-b9c9-e83fce42fb61'
ACTION SNIPPET 10000 930 SNIPPET_RELEVANT b'9cabd844-4ab7-11e7-a186-60c031eab644'
ACTION DOC 10000 950 EXAMINING_DOCUMENT b'9cabd844-4ab7-11e7-a186-60c031eab644'
ACTION SNIPPET 10000 953 SNIPPET_RELEVANT b'1d9f7414-7aac-11e2-82e8-61a46c2cde3d'
ACTION DOC 10000 973 EXAMINING_DOCUMENT b'1d9f7414-7aac-11e2-82e8-61a46c2cde3d'
ACTION MARK 10000 976 CONSIDERED_RELEVANT b'1d9f7414-7aac-11e2-82e8-61a46c2cde3d'
ACTION SNIPPET 10000 979 SNIPPET_RELEVANT b'f7e7affc-2371-11e2-8448-81b1ce7d6978'
ACTION DOC 10000 999 EXAMINING_DOCUMENT b'f7e7affc-2371-11e2-8448-81b1ce7d6978'
ACTION MARK 10000 1002 CONSIDERED_RELEVANT b'f7e7affc-2371-11e2-8448-81b1ce7d6978'
ACTION SNIPPET 10000 1005 SNIPPET_NOT_RELEVANT b'827f47e4cd11e910267b1c0fc9aae74d'
