ACTION QUERY 10000 10 automobile recalls
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'4167cbfc293495fffb36cb2e764d7ebc'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'4167cbfc293495fffb36cb2e764d7ebc'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'4167cbfc293495fffb36cb2e764d7ebc'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'17d805ec-7b6f-11e6-ac8e-cf8e0dd91dc7'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'17d805ec-7b6f-11e6-ac8e-cf8e0dd91dc7'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'17d805ec-7b6f-11e6-ac8e-cf8e0dd91dc7'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'75623e70-f9ad-11e4-9030-b4732caefe81'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'75623e70-f9ad-11e4-9030-b4732caefe81'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'75623e70-f9ad-11e4-9030-b4732caefe81'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION SNIPPET 10000 122 SNIPPET_NOT_RELEVANT b'f52507fe-c736-11e4-aa1a-86135599fb0f'
ACTION SNIPPET 10000 125 SNIPPET_NOT_RELEVANT b'52b0fdb8-c463-11e5-9693-933a4d31bcc8'
ACTION SNIPPET 10000 128 SNIPPET_NOT_RELEVANT b'ca5429d8-37a7-11e5-9d0f-7865a67390ee'
ACTION SNIPPET 10000 131 SNIPPET_RELEVANT b'5027abfc-78cb-11e5-a958-d889faf561dc'
ACTION DOC 10000 151 EXAMINING_DOCUMENT b'5027abfc-78cb-11e5-a958-d889faf561dc'
ACTION MARK 10000 154 CONSIDERED_RELEVANT b'5027abfc-78cb-11e5-a958-d889faf561dc'
ACTION SNIPPET 10000 157 SNIPPET_RELEVANT b'8da5e260ea06521a83251f89afa5b893'
ACTION DOC 10000 177 EXAMINING_DOCUMENT b'8da5e260ea06521a83251f89afa5b893'
ACTION MARK 10000 180 CONSIDERED_RELEVANT b'8da5e260ea06521a83251f89afa5b893'
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'dc5a9e2d66562154337beaa14dca54b8'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'dc5a9e2d66562154337beaa14dca54b8'
ACTION MARK 10000 206 CONSIDERED_RELEVANT b'dc5a9e2d66562154337beaa14dca54b8'
ACTION QUERY 10000 216 Automobile recall
ACTION SERP 10000 221 EXAMINE_SERP
ACTION SNIPPET 10000 224 SEEN_PREVIOUSLY b'17d805ec-7b6f-11e6-ac8e-cf8e0dd91dc7'
ACTION SNIPPET 10000 227 SEEN_PREVIOUSLY b'75623e70-f9ad-11e4-9030-b4732caefe81'
ACTION SNIPPET 10000 230 SNIPPET_RELEVANT b'0340bb48-2692-11e5-aae2-6c4f59b050aa'
ACTION DOC 10000 250 EXAMINING_DOCUMENT b'0340bb48-2692-11e5-aae2-6c4f59b050aa'
ACTION MARK 10000 253 CONSIDERED_RELEVANT b'0340bb48-2692-11e5-aae2-6c4f59b050aa'
ACTION SNIPPET 10000 256 SNIPPET_NOT_RELEVANT b'52b0fdb8-c463-11e5-9693-933a4d31bcc8'
ACTION SNIPPET 10000 259 SNIPPET_NOT_RELEVANT b'ca5429d8-37a7-11e5-9d0f-7865a67390ee'
ACTION SNIPPET 10000 262 SEEN_PREVIOUSLY b'4167cbfc293495fffb36cb2e764d7ebc'
ACTION SNIPPET 10000 265 SEEN_PREVIOUSLY b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION SNIPPET 10000 268 SNIPPET_NOT_RELEVANT b'f52507fe-c736-11e4-aa1a-86135599fb0f'
ACTION SNIPPET 10000 271 SNIPPET_RELEVANT b'4c0fa346afb21b9f7bf7afe1dc17292c'
ACTION DOC 10000 291 EXAMINING_DOCUMENT b'4c0fa346afb21b9f7bf7afe1dc17292c'
ACTION MARK 10000 294 CONSIDERED_RELEVANT b'4c0fa346afb21b9f7bf7afe1dc17292c'
ACTION SNIPPET 10000 297 SEEN_PREVIOUSLY b'5027abfc-78cb-11e5-a958-d889faf561dc'
ACTION QUERY 10000 307 Car recall
ACTION SERP 10000 312 EXAMINE_SERP
ACTION SNIPPET 10000 315 SNIPPET_RELEVANT b'45e167fa54a9f11c8ec09ea403c6d0a4'
ACTION DOC 10000 335 EXAMINING_DOCUMENT b'45e167fa54a9f11c8ec09ea403c6d0a4'
ACTION MARK 10000 338 CONSIDERED_RELEVANT b'45e167fa54a9f11c8ec09ea403c6d0a4'
ACTION SNIPPET 10000 341 SNIPPET_RELEVANT b'7819f441fd7ed1c051aaeece681185ff'
ACTION DOC 10000 361 EXAMINING_DOCUMENT b'7819f441fd7ed1c051aaeece681185ff'
ACTION MARK 10000 364 CONSIDERED_RELEVANT b'7819f441fd7ed1c051aaeece681185ff'
ACTION SNIPPET 10000 367 SEEN_PREVIOUSLY b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION SNIPPET 10000 370 SNIPPET_RELEVANT b'32b3e5d3d20b84f9a417d2d811291d65'
ACTION DOC 10000 390 EXAMINING_DOCUMENT b'32b3e5d3d20b84f9a417d2d811291d65'
ACTION MARK 10000 393 CONSIDERED_RELEVANT b'32b3e5d3d20b84f9a417d2d811291d65'
ACTION SNIPPET 10000 396 SNIPPET_RELEVANT b'7dfb417f61e52c1ba2ce6e58f8c3647c'
ACTION DOC 10000 416 EXAMINING_DOCUMENT b'7dfb417f61e52c1ba2ce6e58f8c3647c'
ACTION MARK 10000 419 CONSIDERED_RELEVANT b'7dfb417f61e52c1ba2ce6e58f8c3647c'
ACTION SNIPPET 10000 422 SEEN_PREVIOUSLY b'4167cbfc293495fffb36cb2e764d7ebc'
ACTION SNIPPET 10000 425 SNIPPET_RELEVANT b'6b630a78-be3f-11e6-94ac-3d324840106c'
ACTION DOC 10000 445 EXAMINING_DOCUMENT b'6b630a78-be3f-11e6-94ac-3d324840106c'
ACTION MARK 10000 448 CONSIDERED_RELEVANT b'6b630a78-be3f-11e6-94ac-3d324840106c'
ACTION SNIPPET 10000 451 SNIPPET_RELEVANT b'0529d9ac-fe52-11e4-805c-c3f407e5a9e9'
ACTION DOC 10000 471 EXAMINING_DOCUMENT b'0529d9ac-fe52-11e4-805c-c3f407e5a9e9'
ACTION MARK 10000 474 CONSIDERED_RELEVANT b'0529d9ac-fe52-11e4-805c-c3f407e5a9e9'
ACTION SNIPPET 10000 477 SNIPPET_RELEVANT b'8787d47c-d7b0-11e3-aae8-c2d44bd79778'
ACTION DOC 10000 497 EXAMINING_DOCUMENT b'8787d47c-d7b0-11e3-aae8-c2d44bd79778'
ACTION MARK 10000 500 CONSIDERED_RELEVANT b'8787d47c-d7b0-11e3-aae8-c2d44bd79778'
ACTION SNIPPET 10000 503 SNIPPET_RELEVANT b'c2beeeda-b6c3-11e3-a7c6-70cf2db17781'
ACTION DOC 10000 523 EXAMINING_DOCUMENT b'c2beeeda-b6c3-11e3-a7c6-70cf2db17781'
ACTION MARK 10000 526 CONSIDERED_RELEVANT b'c2beeeda-b6c3-11e3-a7c6-70cf2db17781'
ACTION QUERY 10000 536 Truck recall
ACTION SERP 10000 541 EXAMINE_SERP
ACTION SNIPPET 10000 544 SNIPPET_NOT_RELEVANT b'a48c7c92-57cc-11e5-abe9-27d53f250b11'
ACTION SNIPPET 10000 547 SNIPPET_NOT_RELEVANT b'4da44152-9202-11e4-ba53-a477d66580ed'
ACTION SNIPPET 10000 550 SEEN_PREVIOUSLY b'4167cbfc293495fffb36cb2e764d7ebc'
ACTION SNIPPET 10000 553 SEEN_PREVIOUSLY b'45e167fa54a9f11c8ec09ea403c6d0a4'
ACTION SNIPPET 10000 556 SEEN_PREVIOUSLY b'0529d9ac-fe52-11e4-805c-c3f407e5a9e9'
ACTION SNIPPET 10000 559 SNIPPET_RELEVANT b'98dc503c-0936-11e5-a7ad-b430fc1d3f5c'
ACTION DOC 10000 579 EXAMINING_DOCUMENT b'98dc503c-0936-11e5-a7ad-b430fc1d3f5c'
ACTION MARK 10000 582 CONSIDERED_RELEVANT b'98dc503c-0936-11e5-a7ad-b430fc1d3f5c'
ACTION SNIPPET 10000 585 SEEN_PREVIOUSLY b'7dfb417f61e52c1ba2ce6e58f8c3647c'
ACTION SNIPPET 10000 588 SNIPPET_NOT_RELEVANT b'331e21f8-742f-11e5-8d93-0af317ed58c9'
ACTION SNIPPET 10000 591 SEEN_PREVIOUSLY b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION SNIPPET 10000 594 SNIPPET_RELEVANT b'6789f552-33cf-11e5-94ce-834ad8f5c50e'
ACTION DOC 10000 614 EXAMINING_DOCUMENT b'6789f552-33cf-11e5-94ce-834ad8f5c50e'
ACTION MARK 10000 617 CONSIDERED_RELEVANT b'6789f552-33cf-11e5-94ce-834ad8f5c50e'
ACTION QUERY 10000 627 SUV recall
ACTION SERP 10000 632 EXAMINE_SERP
ACTION SNIPPET 10000 635 SEEN_PREVIOUSLY b'0340bb48-2692-11e5-aae2-6c4f59b050aa'
ACTION SNIPPET 10000 638 SNIPPET_RELEVANT b'ecdbb9a6-ba74-11e2-92f3-f291801936b8'
ACTION DOC 10000 658 EXAMINING_DOCUMENT b'ecdbb9a6-ba74-11e2-92f3-f291801936b8'
ACTION MARK 10000 661 CONSIDERED_RELEVANT b'ecdbb9a6-ba74-11e2-92f3-f291801936b8'
ACTION SNIPPET 10000 664 SNIPPET_NOT_RELEVANT b'4da44152-9202-11e4-ba53-a477d66580ed'
ACTION SNIPPET 10000 667 SNIPPET_RELEVANT b'c0307f30-d852-11e2-a9f2-42ee3912ae0e'
ACTION DOC 10000 687 EXAMINING_DOCUMENT b'c0307f30-d852-11e2-a9f2-42ee3912ae0e'
ACTION MARK 10000 690 CONSIDERED_RELEVANT b'c0307f30-d852-11e2-a9f2-42ee3912ae0e'
ACTION SNIPPET 10000 693 SNIPPET_RELEVANT b'ad79f0fa-f71f-11e3-a606-946fd632f9f1'
ACTION DOC 10000 713 EXAMINING_DOCUMENT b'ad79f0fa-f71f-11e3-a606-946fd632f9f1'
ACTION MARK 10000 716 CONSIDERED_RELEVANT b'ad79f0fa-f71f-11e3-a606-946fd632f9f1'
ACTION SNIPPET 10000 719 SEEN_PREVIOUSLY b'8787d47c-d7b0-11e3-aae8-c2d44bd79778'
ACTION SNIPPET 10000 722 SEEN_PREVIOUSLY b'17d805ec-7b6f-11e6-ac8e-cf8e0dd91dc7'
ACTION SNIPPET 10000 725 SNIPPET_RELEVANT b'727f3d06-088a-11e6-bdcb-0133da18418d'
ACTION DOC 10000 745 EXAMINING_DOCUMENT b'727f3d06-088a-11e6-bdcb-0133da18418d'
ACTION MARK 10000 748 CONSIDERED_RELEVANT b'727f3d06-088a-11e6-bdcb-0133da18418d'
ACTION SNIPPET 10000 751 SNIPPET_RELEVANT b'db63cb9e-d359-11e6-945a-76f69a399dd5'
ACTION DOC 10000 771 EXAMINING_DOCUMENT b'db63cb9e-d359-11e6-945a-76f69a399dd5'
ACTION MARK 10000 774 CONSIDERED_RELEVANT b'db63cb9e-d359-11e6-945a-76f69a399dd5'
ACTION SNIPPET 10000 777 SNIPPET_NOT_RELEVANT b'f98c4c94-02c4-11e4-b8ff-89afd3fad6bd'
ACTION QUERY 10000 787 Motorbike recall
ACTION SERP 10000 792 EXAMINE_SERP
ACTION SNIPPET 10000 795 SNIPPET_NOT_RELEVANT b'1a6d7a54-ab7e-11e2-b6fd-ba6f5f26d70e'
ACTION SNIPPET 10000 798 SNIPPET_NOT_RELEVANT b'02da1ebc-e113-11e3-8dcc-d6b7fede081a'
ACTION SNIPPET 10000 801 SNIPPET_NOT_RELEVANT b'1f4e7bbb39831ba40cc8b6d8431729dd'
ACTION SNIPPET 10000 804 SNIPPET_NOT_RELEVANT b'0ec2efde65a1d60ef87c8e5913aafe93'
ACTION SNIPPET 10000 807 SNIPPET_NOT_RELEVANT b'088b454c-5cd1-11e7-9fc6-c7ef4bc58d13'
ACTION SNIPPET 10000 810 SNIPPET_NOT_RELEVANT b'296e9e2e-44de-11e5-8ab4-c73967a143d3'
ACTION SNIPPET 10000 813 SNIPPET_NOT_RELEVANT b'41a6a9e0bc5186182aa0b7a0013482d4'
ACTION SNIPPET 10000 816 SNIPPET_NOT_RELEVANT b'754c5c7db58918cf9f9ef3aa06e565ab'
ACTION SNIPPET 10000 819 SNIPPET_NOT_RELEVANT b'd6005d00ee07f7149697cdfe9cc94efa'
ACTION SNIPPET 10000 822 SNIPPET_NOT_RELEVANT b'b8dfef9d49482f26ab81ef7bdc19312d'
ACTION QUERY 10000 832 Vehicle recall
ACTION SERP 10000 837 EXAMINE_SERP
ACTION SNIPPET 10000 840 SEEN_PREVIOUSLY b'45e167fa54a9f11c8ec09ea403c6d0a4'
ACTION SNIPPET 10000 843 SEEN_PREVIOUSLY b'32b3e5d3d20b84f9a417d2d811291d65'
ACTION SNIPPET 10000 846 SNIPPET_RELEVANT b'3046525e-008e-11e4-8fd0-3a663dfa68ac'
ACTION DOC 10000 866 EXAMINING_DOCUMENT b'3046525e-008e-11e4-8fd0-3a663dfa68ac'
ACTION MARK 10000 869 CONSIDERED_RELEVANT b'3046525e-008e-11e4-8fd0-3a663dfa68ac'
ACTION SNIPPET 10000 872 SEEN_PREVIOUSLY b'4167cbfc293495fffb36cb2e764d7ebc'
ACTION SNIPPET 10000 875 SNIPPET_RELEVANT b'1dc21534-bff5-11e3-b574-f8748871856a'
ACTION DOC 10000 895 EXAMINING_DOCUMENT b'1dc21534-bff5-11e3-b574-f8748871856a'
ACTION MARK 10000 898 CONSIDERED_RELEVANT b'1dc21534-bff5-11e3-b574-f8748871856a'
ACTION SNIPPET 10000 901 SEEN_PREVIOUSLY b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION SNIPPET 10000 904 SNIPPET_RELEVANT b'a7c290057d8896878bc0a1a2fa5f66f9'
