ACTION QUERY 10000 10 "UV damage  eyes"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'49cf7196-4f9c-11e7-b064-828ba60fbb98'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'79787ccc-a287-11e4-b146-577832eafcb4'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'fa2de026-8467-11e3-bbe5-6a2a3141e3a9'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'fa2de026-8467-11e3-bbe5-6a2a3141e3a9'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'47290fe41980f0f20583aea121999c6d'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'47290fe41980f0f20583aea121999c6d'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'2e83ad87eb1bade22e6e96ece616c24f'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'2e83ad87eb1bade22e6e96ece616c24f'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'2e83ad87eb1bade22e6e96ece616c24f'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'bc761c02fb69ab0afb294652b658531d'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'bc761c02fb69ab0afb294652b658531d'
ACTION SNIPPET 10000 119 SNIPPET_NOT_RELEVANT b'62a06706-50d9-11e1-ad74-b5127cc09f9f'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'8c1a6bc2-92d3-11e1-b3f3-d2fbf8089c7e'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'8c1a6bc2-92d3-11e1-b3f3-d2fbf8089c7e'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'e34d4f98-49ff-11e2-820e-17eefac2f939'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'e34d4f98-49ff-11e2-820e-17eefac2f939'
ACTION SNIPPET 10000 168 SNIPPET_RELEVANT b'4c4aea4c9b855ffc5f09108f4982950e'
ACTION DOC 10000 188 EXAMINING_DOCUMENT b'4c4aea4c9b855ffc5f09108f4982950e'
ACTION SNIPPET 10000 191 SNIPPET_RELEVANT b'47948458-c2ff-11e2-8c3b-0b5e9247e8ca'
ACTION DOC 10000 211 EXAMINING_DOCUMENT b'47948458-c2ff-11e2-8c3b-0b5e9247e8ca'
ACTION SNIPPET 10000 214 SNIPPET_RELEVANT b'a31700a44ce21bb1f69ce40b3436579f'
ACTION DOC 10000 234 EXAMINING_DOCUMENT b'a31700a44ce21bb1f69ce40b3436579f'
ACTION SNIPPET 10000 237 SNIPPET_NOT_RELEVANT b'e83d266a-d8d7-11e2-b418-9dfa095e125d'
ACTION SNIPPET 10000 240 SNIPPET_NOT_RELEVANT b'4d173990-f8a3-11e3-a606-946fd632f9f1'
ACTION SNIPPET 10000 243 SNIPPET_NOT_RELEVANT b'da13b52e-094d-11e5-9e39-0db921c47b93'
