ACTION QUERY 10000 10 ethanol and food prices
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'2e0c4ffa3fb7089f43965bef7ee6d4d2'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'2e0c4ffa3fb7089f43965bef7ee6d4d2'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'2e0c4ffa3fb7089f43965bef7ee6d4d2'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'f0e54cf8-9e3d-11e3-b8d8-94577ff66b28'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'f0e54cf8-9e3d-11e3-b8d8-94577ff66b28'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'f0e54cf8-9e3d-11e3-b8d8-94577ff66b28'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'79fb5268-4e33-11e3-be6b-d3d28122e6d4'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'79fb5268-4e33-11e3-be6b-d3d28122e6d4'
ACTION SNIPPET 10000 93 SNIPPET_RELEVANT b'd9cbfdd3a4593477feee99eb4f3a28be'
ACTION DOC 10000 113 EXAMINING_DOCUMENT b'd9cbfdd3a4593477feee99eb4f3a28be'
ACTION MARK 10000 116 CONSIDERED_RELEVANT b'd9cbfdd3a4593477feee99eb4f3a28be'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'16211a12-dcc8-11e1-9974-5c975ae4810f'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'16211a12-dcc8-11e1-9974-5c975ae4810f'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'16211a12-dcc8-11e1-9974-5c975ae4810f'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'57ba383e-68cb-11e2-af53-7b2b2a7510a8'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'57ba383e-68cb-11e2-af53-7b2b2a7510a8'
ACTION SNIPPET 10000 168 SNIPPET_RELEVANT b'b95667f8-c0a0-11e1-9ce8-ff26651238d0'
