ACTION QUERY 10000 10 computers and paralyzed people
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'6e13aa26-00d9-11e6-b823-707c79ce3504'
ACTION SNIPPET 10000 21 SNIPPET_RELEVANT b'f4c92a47497c69b8cf7ab1b3c7264076'
ACTION DOC 10000 41 EXAMINING_DOCUMENT b'f4c92a47497c69b8cf7ab1b3c7264076'
ACTION MARK 10000 44 CONSIDERED_RELEVANT b'f4c92a47497c69b8cf7ab1b3c7264076'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'13c9ac88-f8a1-11e3-a606-946fd632f9f1'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'13c9ac88-f8a1-11e3-a606-946fd632f9f1'
ACTION MARK 10000 70 CONSIDERED_RELEVANT b'13c9ac88-f8a1-11e3-a606-946fd632f9f1'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'2bea9433d4e1050c9c85175df466b3e2'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'2bea9433d4e1050c9c85175df466b3e2'
ACTION MARK 10000 96 CONSIDERED_RELEVANT b'2bea9433d4e1050c9c85175df466b3e2'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'7a4de4fd17f87727dbec32f7becd6816'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'7a4de4fd17f87727dbec32f7becd6816'
ACTION MARK 10000 122 CONSIDERED_RELEVANT b'7a4de4fd17f87727dbec32f7becd6816'
ACTION SNIPPET 10000 125 SNIPPET_RELEVANT b'0669e164-22cf-11e3-966c-9c4293c47ebe'
ACTION DOC 10000 145 EXAMINING_DOCUMENT b'0669e164-22cf-11e3-966c-9c4293c47ebe'
ACTION MARK 10000 148 CONSIDERED_RELEVANT b'0669e164-22cf-11e3-966c-9c4293c47ebe'
ACTION SNIPPET 10000 151 SNIPPET_RELEVANT b'c45515e2-ccaf-11e3-a75e-463587891b57'
ACTION DOC 10000 171 EXAMINING_DOCUMENT b'c45515e2-ccaf-11e3-a75e-463587891b57'
ACTION MARK 10000 174 CONSIDERED_RELEVANT b'c45515e2-ccaf-11e3-a75e-463587891b57'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'578a83cc-5d8d-11e6-9d2f-b1a3564181a1'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'578a83cc-5d8d-11e6-9d2f-b1a3564181a1'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'bc800e8f765fac4c09f5adbd1154528e'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'bc800e8f765fac4c09f5adbd1154528e'
ACTION MARK 10000 223 CONSIDERED_RELEVANT b'bc800e8f765fac4c09f5adbd1154528e'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'1020bbc1ca7695dab729cec9571385ca'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'1020bbc1ca7695dab729cec9571385ca'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'a8205e2a-ec6b-11e1-aca7-272630dfd152'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'a8205e2a-ec6b-11e1-aca7-272630dfd152'
ACTION MARK 10000 272 CONSIDERED_RELEVANT b'a8205e2a-ec6b-11e1-aca7-272630dfd152'
ACTION SNIPPET 10000 275 SNIPPET_RELEVANT b'588f4dae-1244-11e2-be82-c3411b7680a9'
ACTION DOC 10000 295 EXAMINING_DOCUMENT b'588f4dae-1244-11e2-be82-c3411b7680a9'
ACTION SNIPPET 10000 298 SNIPPET_RELEVANT b'71105310-9f98-11e1-b635-cd65c275a1e2'
ACTION DOC 10000 318 EXAMINING_DOCUMENT b'71105310-9f98-11e1-b635-cd65c275a1e2'
ACTION MARK 10000 321 CONSIDERED_RELEVANT b'71105310-9f98-11e1-b635-cd65c275a1e2'
ACTION SNIPPET 10000 324 SNIPPET_RELEVANT b'42bc646c-10bd-11e3-85b6-d27422650fd5'
ACTION DOC 10000 344 EXAMINING_DOCUMENT b'42bc646c-10bd-11e3-85b6-d27422650fd5'
ACTION MARK 10000 347 CONSIDERED_RELEVANT b'42bc646c-10bd-11e3-85b6-d27422650fd5'
ACTION SNIPPET 10000 350 SNIPPET_RELEVANT b'bd4f5eef3f26de9858e555aa6b60a493'
ACTION DOC 10000 370 EXAMINING_DOCUMENT b'bd4f5eef3f26de9858e555aa6b60a493'
ACTION MARK 10000 373 CONSIDERED_RELEVANT b'bd4f5eef3f26de9858e555aa6b60a493'
ACTION SNIPPET 10000 376 SNIPPET_RELEVANT b'ac68370f84cd413ab183291772f2a615'
