ACTION QUERY 10000 10 chavez medical treatment in cuba
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'f547b932-5fc6-11e1-a4d6-a4f9bab3599a'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'f547b932-5fc6-11e1-a4d6-a4f9bab3599a'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'f547b932-5fc6-11e1-a4d6-a4f9bab3599a'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'11915bd8-7944-11e2-9c27-fdd594ea6286'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'11915bd8-7944-11e2-9c27-fdd594ea6286'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'11915bd8-7944-11e2-9c27-fdd594ea6286'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'479f8004-42cd-11e2-8e70-e1993528222d'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'479f8004-42cd-11e2-8e70-e1993528222d'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'479f8004-42cd-11e2-8e70-e1993528222d'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'4dd384ca-5a7e-11e2-9fa9-5fbdc9530eb9'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'4dd384ca-5a7e-11e2-9fa9-5fbdc9530eb9'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'4dd384ca-5a7e-11e2-9fa9-5fbdc9530eb9'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'f7d06b18-b688-11e1-92df-14cd260b161d'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'f7d06b18-b688-11e1-92df-14cd260b161d'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'f7d06b18-b688-11e1-92df-14cd260b161d'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'ee8f9b9a-4220-11e2-8c8f-fbebf7ccab4e'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'ee8f9b9a-4220-11e2-8c8f-fbebf7ccab4e'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'ee8f9b9a-4220-11e2-8c8f-fbebf7ccab4e'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'e8efca52-779a-11e2-b102-948929030e64'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'e8efca52-779a-11e2-b102-948929030e64'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'e8efca52-779a-11e2-b102-948929030e64'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'd7ec4262-8393-11e2-a350-49866afab584'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'd7ec4262-8393-11e2-a350-49866afab584'
ACTION MARK 10000 223 CONSIDERED_RELEVANT b'd7ec4262-8393-11e2-a350-49866afab584'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'da235f08-b494-11e1-92df-14cd260b161d'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'da235f08-b494-11e1-92df-14cd260b161d'
ACTION MARK 10000 249 CONSIDERED_RELEVANT b'da235f08-b494-11e1-92df-14cd260b161d'
ACTION SNIPPET 10000 252 SNIPPET_RELEVANT b'049e8762-59e5-11e2-b8b2-0d18a64c8dfa'
ACTION DOC 10000 272 EXAMINING_DOCUMENT b'049e8762-59e5-11e2-b8b2-0d18a64c8dfa'
ACTION MARK 10000 275 CONSIDERED_RELEVANT b'049e8762-59e5-11e2-b8b2-0d18a64c8dfa'
ACTION SNIPPET 10000 278 SNIPPET_RELEVANT b'bd36fde0-56a2-11e2-8b9e-dd8773594efc'
ACTION DOC 10000 298 EXAMINING_DOCUMENT b'bd36fde0-56a2-11e2-8b9e-dd8773594efc'
ACTION MARK 10000 301 CONSIDERED_RELEVANT b'bd36fde0-56a2-11e2-8b9e-dd8773594efc'
ACTION SNIPPET 10000 304 SNIPPET_RELEVANT b'c0f50124-8e44-11e1-8317-bc55e8fdd4a2'
ACTION DOC 10000 324 EXAMINING_DOCUMENT b'c0f50124-8e44-11e1-8317-bc55e8fdd4a2'
ACTION MARK 10000 327 CONSIDERED_RELEVANT b'c0f50124-8e44-11e1-8317-bc55e8fdd4a2'
ACTION SNIPPET 10000 330 SNIPPET_RELEVANT b'94979206-5b51-11e2-beee-6e38f5215402'
ACTION DOC 10000 350 EXAMINING_DOCUMENT b'94979206-5b51-11e2-beee-6e38f5215402'
ACTION MARK 10000 353 CONSIDERED_RELEVANT b'94979206-5b51-11e2-beee-6e38f5215402'
ACTION SNIPPET 10000 356 SNIPPET_RELEVANT b'891606d0-79d6-11e2-9c27-fdd594ea6286'
ACTION DOC 10000 376 EXAMINING_DOCUMENT b'891606d0-79d6-11e2-9c27-fdd594ea6286'
ACTION MARK 10000 379 CONSIDERED_RELEVANT b'891606d0-79d6-11e2-9c27-fdd594ea6286'
ACTION SNIPPET 10000 382 SNIPPET_RELEVANT b'9a1d32dc-7c42-11e2-9073-e9dda4ac6a66'
ACTION DOC 10000 402 EXAMINING_DOCUMENT b'9a1d32dc-7c42-11e2-9073-e9dda4ac6a66'
ACTION MARK 10000 405 CONSIDERED_RELEVANT b'9a1d32dc-7c42-11e2-9073-e9dda4ac6a66'
ACTION SNIPPET 10000 408 SNIPPET_NOT_RELEVANT b'ac8b23ac-155e-11e2-9a39-1f5a7f6fe945'
ACTION SNIPPET 10000 411 SNIPPET_RELEVANT b'af81b02e-867b-11e2-a80b-3edc779b676f'
ACTION DOC 10000 431 EXAMINING_DOCUMENT b'af81b02e-867b-11e2-a80b-3edc779b676f'
ACTION MARK 10000 434 CONSIDERED_RELEVANT b'af81b02e-867b-11e2-a80b-3edc779b676f'
