ACTION QUERY 10000 10 human stampede
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1789645'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1789645'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1789645'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1753507'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1753507'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1753507'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1515218'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1515218'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1515218'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1698889'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1698889'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1698889'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1698991'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1698991'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'1698991'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'127391'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'127391'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'127391'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'365604'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'365604'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'365604'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'278899'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'278899'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'79150'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'79150'
ACTION MARK 10000 246 CONSIDERED_RELEVANT b'79150'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'365725'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'365725'
ACTION MARK 10000 272 CONSIDERED_RELEVANT b'365725'
ACTION SNIPPET 10000 275 SNIPPET_RELEVANT b'1522020'
ACTION DOC 10000 295 EXAMINING_DOCUMENT b'1522020'
ACTION MARK 10000 298 CONSIDERED_RELEVANT b'1522020'
ACTION SNIPPET 10000 301 SNIPPET_RELEVANT b'100763'
ACTION DOC 10000 321 EXAMINING_DOCUMENT b'100763'
ACTION MARK 10000 324 CONSIDERED_RELEVANT b'100763'
ACTION SNIPPET 10000 327 SNIPPET_RELEVANT b'127053'
ACTION DOC 10000 347 EXAMINING_DOCUMENT b'127053'
ACTION MARK 10000 350 CONSIDERED_RELEVANT b'127053'
