ACTION QUERY 10000 10 Native American casino
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'955215'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'498450'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'659520'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'659520'
ACTION MARK 10000 47 CONSIDERED_RELEVANT b'659520'
ACTION SNIPPET 10000 50 SNIPPET_RELEVANT b'751799'
ACTION DOC 10000 70 EXAMINING_DOCUMENT b'751799'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'1088208'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'1088208'
ACTION MARK 10000 96 CONSIDERED_RELEVANT b'1088208'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'1182706'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'1182706'
ACTION MARK 10000 122 CONSIDERED_RELEVANT b'1182706'
ACTION SNIPPET 10000 125 SNIPPET_RELEVANT b'687474'
ACTION DOC 10000 145 EXAMINING_DOCUMENT b'687474'
ACTION MARK 10000 148 CONSIDERED_RELEVANT b'687474'
ACTION SNIPPET 10000 151 SNIPPET_RELEVANT b'1663305'
ACTION DOC 10000 171 EXAMINING_DOCUMENT b'1663305'
ACTION MARK 10000 174 CONSIDERED_RELEVANT b'1663305'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'453286'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'453286'
ACTION MARK 10000 200 CONSIDERED_RELEVANT b'453286'
ACTION SNIPPET 10000 203 SNIPPET_RELEVANT b'1390982'
ACTION DOC 10000 223 EXAMINING_DOCUMENT b'1390982'
ACTION MARK 10000 226 CONSIDERED_RELEVANT b'1390982'
ACTION SNIPPET 10000 229 SNIPPET_RELEVANT b'597581'
ACTION DOC 10000 249 EXAMINING_DOCUMENT b'597581'
ACTION MARK 10000 252 CONSIDERED_RELEVANT b'597581'
ACTION SNIPPET 10000 255 SNIPPET_RELEVANT b'449033'
ACTION DOC 10000 275 EXAMINING_DOCUMENT b'449033'
ACTION MARK 10000 278 CONSIDERED_RELEVANT b'449033'
ACTION SNIPPET 10000 281 SNIPPET_RELEVANT b'1528507'
ACTION DOC 10000 301 EXAMINING_DOCUMENT b'1528507'
ACTION MARK 10000 304 CONSIDERED_RELEVANT b'1528507'
ACTION SNIPPET 10000 307 SNIPPET_RELEVANT b'1229201'
ACTION DOC 10000 327 EXAMINING_DOCUMENT b'1229201'
ACTION MARK 10000 330 CONSIDERED_RELEVANT b'1229201'
ACTION SNIPPET 10000 333 SNIPPET_NOT_RELEVANT b'1223310'
ACTION SNIPPET 10000 336 SNIPPET_RELEVANT b'1271481'
ACTION DOC 10000 356 EXAMINING_DOCUMENT b'1271481'
ACTION MARK 10000 359 CONSIDERED_RELEVANT b'1271481'
ACTION SNIPPET 10000 362 SNIPPET_RELEVANT b'1404518'
ACTION DOC 10000 382 EXAMINING_DOCUMENT b'1404518'
ACTION MARK 10000 385 CONSIDERED_RELEVANT b'1404518'
ACTION SNIPPET 10000 388 SNIPPET_NOT_RELEVANT b'505473'
ACTION SNIPPET 10000 391 SNIPPET_NOT_RELEVANT b'1102646'
ACTION SNIPPET 10000 394 SNIPPET_RELEVANT b'778782'
ACTION DOC 10000 414 EXAMINING_DOCUMENT b'778782'
ACTION MARK 10000 417 CONSIDERED_RELEVANT b'778782'
ACTION QUERY 10000 427 Native American gaming
ACTION SERP 10000 432 EXAMINE_SERP
ACTION SNIPPET 10000 435 SEEN_PREVIOUSLY b'751799'
ACTION SNIPPET 10000 438 SEEN_PREVIOUSLY b'449033'
ACTION SNIPPET 10000 441 SEEN_PREVIOUSLY b'1390982'
ACTION SNIPPET 10000 444 SEEN_PREVIOUSLY b'1229201'
ACTION SNIPPET 10000 447 SNIPPET_RELEVANT b'1734352'
ACTION DOC 10000 467 EXAMINING_DOCUMENT b'1734352'
ACTION MARK 10000 470 CONSIDERED_RELEVANT b'1734352'
ACTION SNIPPET 10000 473 SNIPPET_RELEVANT b'826423'
ACTION DOC 10000 493 EXAMINING_DOCUMENT b'826423'
ACTION MARK 10000 496 CONSIDERED_RELEVANT b'826423'
ACTION SNIPPET 10000 499 SNIPPET_RELEVANT b'955215'
ACTION DOC 10000 519 EXAMINING_DOCUMENT b'955215'
ACTION SNIPPET 10000 522 SNIPPET_NOT_RELEVANT b'1102646'
