ACTION QUERY 10000 10 U.S. age demographics
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'c8aad5c3fa9e4e3da035ced835efc8ba'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'5a7e81418c603058011b46b4785cb7a8'
ACTION SNIPPET 10000 24 SNIPPET_NOT_RELEVANT b'449aca5fc1a45774cc7267b4df722b32'
ACTION SNIPPET 10000 27 SNIPPET_NOT_RELEVANT b'3bb1017c-d388-11e2-a73e-826d299ff459'
ACTION SNIPPET 10000 30 SNIPPET_NOT_RELEVANT b'0ddb7baeb4e7c65b52c296f42908dc33'
ACTION SNIPPET 10000 33 SNIPPET_NOT_RELEVANT b'059845c2-7f34-11e1-9877-d2a289f31732'
ACTION SNIPPET 10000 36 SNIPPET_NOT_RELEVANT b'016176050f6103109ee7b08ac6cc6bf1'
ACTION SNIPPET 10000 39 SNIPPET_NOT_RELEVANT b'66d72e3e-c311-11e3-b574-f8748871856a'
ACTION SNIPPET 10000 42 SNIPPET_NOT_RELEVANT b'46373800-8927-11e3-916e-e01534b1e132'
ACTION SNIPPET 10000 45 SNIPPET_NOT_RELEVANT b'a7cb076b400036867af9ea2e8fc9fa29'
ACTION SNIPPET 10000 48 SNIPPET_NOT_RELEVANT b'98373e592d508ae8744877bac4a79531'
ACTION SNIPPET 10000 51 SNIPPET_NOT_RELEVANT b'021102bc67733c912d2e5f70482eb615'
ACTION SNIPPET 10000 54 SNIPPET_NOT_RELEVANT b'7af613164b7b1022b6438499ebb042cc'
ACTION SNIPPET 10000 57 SNIPPET_NOT_RELEVANT b'ddb723000508d459894467e00e13a997'
ACTION SNIPPET 10000 60 SNIPPET_NOT_RELEVANT b'789c859a3dccbd32dbe0689d2b444cdb'
ACTION SNIPPET 10000 63 SNIPPET_NOT_RELEVANT b'47760352e20410f4d80a2fd28b961532'
ACTION SNIPPET 10000 66 SNIPPET_NOT_RELEVANT b'507444a6-165f-11e3-be6e-dc6ae8a5b3a8'
ACTION SNIPPET 10000 69 SNIPPET_NOT_RELEVANT b'ffc24c3ddc7de75c811ce0f58edb77a2'
ACTION SNIPPET 10000 72 SNIPPET_NOT_RELEVANT b'86883ae2590ff739e271083be83c1d48'
ACTION SNIPPET 10000 75 SNIPPET_NOT_RELEVANT b'fd4aa2c549d13b77820c20fb9f5c9a48'
ACTION SNIPPET 10000 78 SNIPPET_NOT_RELEVANT b'3fc61020ed518a5315d0674d4c64400a'
ACTION SNIPPET 10000 81 SNIPPET_NOT_RELEVANT b'e4810416-5ea0-11e3-be07-006c776266ed'
ACTION SNIPPET 10000 84 SNIPPET_NOT_RELEVANT b'2de71e4d9bf1ed6c3dbed3cbff0f2946'
ACTION SNIPPET 10000 87 SNIPPET_NOT_RELEVANT b'dbd86c6a22e1f5c643d9b5c66e414f0b'
ACTION SNIPPET 10000 90 SNIPPET_NOT_RELEVANT b'72379c4e-ce17-11e3-b812-0c92213941f4'
ACTION SNIPPET 10000 93 SNIPPET_NOT_RELEVANT b'540d4f821c289004c3e466744307641b'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'978d55ee90adecf2f184832f80ddfd2f'
ACTION SNIPPET 10000 99 SNIPPET_NOT_RELEVANT b'0ac5f5396617729d5487f6f22d71fd26'
ACTION SNIPPET 10000 102 SNIPPET_NOT_RELEVANT b'29d1a1d69737d467c3d9a04ace96e6c0'
ACTION SNIPPET 10000 105 SNIPPET_NOT_RELEVANT b'f76637b179ada617ab580ba009354829'
ACTION SNIPPET 10000 108 SNIPPET_NOT_RELEVANT b'2a877c94badb4a73dcfb1c614f856889'
