ACTION QUERY 10000 10 piracy
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'944052'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'1539234'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'1050607'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'1050607'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'1634739'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'1634739'
ACTION SNIPPET 10000 70 SNIPPET_NOT_RELEVANT b'68102'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'1027308'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'1027308'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'1524044'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'1549581'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'1549581'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'119258'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'119258'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'1523782'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'1523782'
ACTION QUERY 10000 175 Pirate Bay
ACTION SERP 10000 180 EXAMINE_SERP
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'1783759'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'1783759'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'1612961'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'1612961'
ACTION SNIPPET 10000 229 SNIPPET_NOT_RELEVANT b'1625970'
ACTION SNIPPET 10000 232 SNIPPET_NOT_RELEVANT b'1695879'
ACTION SNIPPET 10000 235 SNIPPET_NOT_RELEVANT b'1167209'
ACTION SNIPPET 10000 238 SNIPPET_RELEVANT b'1459538'
ACTION DOC 10000 258 EXAMINING_DOCUMENT b'1459538'
ACTION SNIPPET 10000 261 SNIPPET_NOT_RELEVANT b'1759441'
ACTION SNIPPET 10000 264 SNIPPET_NOT_RELEVANT b'682482'
ACTION SNIPPET 10000 267 SNIPPET_NOT_RELEVANT b'1282518'
ACTION SNIPPET 10000 270 SNIPPET_NOT_RELEVANT b'1773460'
ACTION QUERY 10000 280 Illegal downloading
ACTION SERP 10000 285 EXAMINE_SERP
ACTION SNIPPET 10000 288 SNIPPET_NOT_RELEVANT b'1611990'
ACTION SNIPPET 10000 291 SNIPPET_NOT_RELEVANT b'1715144'
ACTION SNIPPET 10000 294 SNIPPET_RELEVANT b'1520951'
ACTION DOC 10000 314 EXAMINING_DOCUMENT b'1520951'
ACTION SNIPPET 10000 317 SNIPPET_NOT_RELEVANT b'1520509'
ACTION SNIPPET 10000 320 SNIPPET_RELEVANT b'1576405'
ACTION DOC 10000 340 EXAMINING_DOCUMENT b'1576405'
ACTION SNIPPET 10000 343 SNIPPET_RELEVANT b'1460667'
ACTION DOC 10000 363 EXAMINING_DOCUMENT b'1460667'
ACTION SNIPPET 10000 366 SNIPPET_RELEVANT b'1760461'
ACTION DOC 10000 386 EXAMINING_DOCUMENT b'1760461'
ACTION SNIPPET 10000 389 SNIPPET_NOT_RELEVANT b'1719715'
ACTION SNIPPET 10000 392 SNIPPET_RELEVANT b'1592248'
ACTION DOC 10000 412 EXAMINING_DOCUMENT b'1592248'
ACTION SNIPPET 10000 415 SNIPPET_NOT_RELEVANT b'1829016'
ACTION QUERY 10000 425 Torrent sites
ACTION SERP 10000 430 EXAMINE_SERP
ACTION SNIPPET 10000 433 SNIPPET_RELEVANT b'1610748'
ACTION DOC 10000 453 EXAMINING_DOCUMENT b'1610748'
ACTION SNIPPET 10000 456 SNIPPET_NOT_RELEVANT b'1770175'
ACTION SNIPPET 10000 459 SNIPPET_NOT_RELEVANT b'1804014'
ACTION SNIPPET 10000 462 SNIPPET_NOT_RELEVANT b'613703'
