ACTION QUERY 10000 10 "law enforcement  dogs"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'5b14e1ac12258322fd8a3990ff811651'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'ed263256-8a37-11e6-bff0-d53f592f176e'
ACTION SNIPPET 10000 24 SNIPPET_NOT_RELEVANT b'e9943fbe-d613-11e3-8f7d-7786660fff7c'
ACTION SNIPPET 10000 27 SNIPPET_NOT_RELEVANT b'1d7acbe4-959d-11e2-b6f0-a5150a247b6a'
ACTION SNIPPET 10000 30 SNIPPET_NOT_RELEVANT b'9ac63c22-98a0-11e2-814b-063623d80a60'
ACTION SNIPPET 10000 33 SNIPPET_RELEVANT b'cca075ec5ff4f899979ff1121014c979'
ACTION DOC 10000 53 EXAMINING_DOCUMENT b'cca075ec5ff4f899979ff1121014c979'
ACTION SNIPPET 10000 56 SNIPPET_NOT_RELEVANT b'0e60708502c9bf45133472680e59de21'
ACTION SNIPPET 10000 59 SNIPPET_NOT_RELEVANT b'25266d02-5c77-11e3-bc56-c6ca94801fac'
ACTION SNIPPET 10000 62 SNIPPET_RELEVANT b'65b25f34-f810-11e5-9804-537defcc3cf6'
ACTION DOC 10000 82 EXAMINING_DOCUMENT b'65b25f34-f810-11e5-9804-537defcc3cf6'
ACTION MARK 10000 85 CONSIDERED_RELEVANT b'65b25f34-f810-11e5-9804-537defcc3cf6'
ACTION SNIPPET 10000 88 SNIPPET_RELEVANT b'2f0a1910491066646209d42a0f8cb03c'
ACTION DOC 10000 108 EXAMINING_DOCUMENT b'2f0a1910491066646209d42a0f8cb03c'
ACTION MARK 10000 111 CONSIDERED_RELEVANT b'2f0a1910491066646209d42a0f8cb03c'
ACTION QUERY 10000 121 K-9 units
ACTION SERP 10000 126 EXAMINE_SERP
ACTION SNIPPET 10000 129 SNIPPET_NOT_RELEVANT b'17cfdebb5bf257d0df7001bba79b0664'
ACTION SNIPPET 10000 132 SNIPPET_NOT_RELEVANT b'a817091ff6e514c97fe2edb706547c2a'
ACTION SNIPPET 10000 135 SNIPPET_NOT_RELEVANT b'c1ca9eb0-056f-11e5-bc72-f3e16bf50bb6'
ACTION SNIPPET 10000 138 SNIPPET_NOT_RELEVANT b'7c455f68-0313-11e6-9203-7b8670959b88'
ACTION SNIPPET 10000 141 SNIPPET_NOT_RELEVANT b'3d20d6d1ff762e1d523e55e92577ff41'
ACTION SNIPPET 10000 144 SNIPPET_NOT_RELEVANT b'6765f3ff0e63db1693a9362e7bc47bfd'
ACTION SNIPPET 10000 147 SNIPPET_NOT_RELEVANT b'8422e2305ff85118fa1f2475883cd0b7'
ACTION SNIPPET 10000 150 SNIPPET_NOT_RELEVANT b'8667d31a-866e-11e2-98a3-b3db6b9ac586'
ACTION SNIPPET 10000 153 SNIPPET_NOT_RELEVANT b'2eba5ca57af42efb3555a44c5dd83b09'
ACTION SNIPPET 10000 156 SNIPPET_NOT_RELEVANT b'c18524d7241bb524d50f94b1540a20fb'
ACTION QUERY 10000 166 Police dogs
ACTION SERP 10000 171 EXAMINE_SERP
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'60011f8c-a593-11e5-b53d-972e2751f433'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'60011f8c-a593-11e5-b53d-972e2751f433'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'bf8a1162-adc5-11e6-977a-1030f822fc35'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'bf8a1162-adc5-11e6-977a-1030f822fc35'
ACTION SNIPPET 10000 220 SNIPPET_NOT_RELEVANT b'942807e4-f983-11e2-afc1-c850c6ee5af8'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'05625b26-3daf-11e2-bca3-aadc9b7e29c5'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'05625b26-3daf-11e2-bca3-aadc9b7e29c5'
ACTION SNIPPET 10000 246 SNIPPET_RELEVANT b'd1fa9c78c55fefe553aefe97ab9c3edd'
ACTION DOC 10000 266 EXAMINING_DOCUMENT b'd1fa9c78c55fefe553aefe97ab9c3edd'
ACTION SNIPPET 10000 269 SNIPPET_NOT_RELEVANT b'bebb0eec-5559-11e4-809b-8cc0a295c773'
ACTION SNIPPET 10000 272 SNIPPET_RELEVANT b'45d84218748a9a4cc67a8046384cac10'
ACTION DOC 10000 292 EXAMINING_DOCUMENT b'45d84218748a9a4cc67a8046384cac10'
ACTION SNIPPET 10000 295 SNIPPET_NOT_RELEVANT b'da513b50-ac30-11e2-b6fd-ba6f5f26d70e'
ACTION SNIPPET 10000 298 SNIPPET_RELEVANT b'4a71d9f0-f73d-11e3-8aa9-dad2ec039789'
ACTION DOC 10000 318 EXAMINING_DOCUMENT b'4a71d9f0-f73d-11e3-8aa9-dad2ec039789'
ACTION SNIPPET 10000 321 SNIPPET_RELEVANT b'87036d3f8996a5c209f0478ca7c370b3'
ACTION DOC 10000 341 EXAMINING_DOCUMENT b'87036d3f8996a5c209f0478ca7c370b3'
ACTION MARK 10000 344 CONSIDERED_RELEVANT b'87036d3f8996a5c209f0478ca7c370b3'
ACTION QUERY 10000 354 Narcotics dogs
ACTION SERP 10000 359 EXAMINE_SERP
ACTION SNIPPET 10000 362 SEEN_PREVIOUSLY b'87036d3f8996a5c209f0478ca7c370b3'
ACTION SNIPPET 10000 365 SNIPPET_NOT_RELEVANT b'79dc6aa7785d254b594f8d30d8b66a50'
ACTION SNIPPET 10000 368 SNIPPET_RELEVANT b'5b181110-2125-11e2-8448-81b1ce7d6978'
ACTION DOC 10000 388 EXAMINING_DOCUMENT b'5b181110-2125-11e2-8448-81b1ce7d6978'
ACTION MARK 10000 391 CONSIDERED_RELEVANT b'5b181110-2125-11e2-8448-81b1ce7d6978'
ACTION SNIPPET 10000 394 SNIPPET_NOT_RELEVANT b'4f82b7b3e36805481b29a26db5995a60'
ACTION SNIPPET 10000 397 SNIPPET_NOT_RELEVANT b'859a49c6f0eb99e33a931f170bd5e9ba'
ACTION SNIPPET 10000 400 SNIPPET_NOT_RELEVANT b'17cfdebb5bf257d0df7001bba79b0664'
ACTION SNIPPET 10000 403 SNIPPET_NOT_RELEVANT b'1d7acbe4-959d-11e2-b6f0-a5150a247b6a'
ACTION SNIPPET 10000 406 SNIPPET_NOT_RELEVANT b'b13600fc-6ed3-11e1-91fd-5ffb00867c92'
ACTION SNIPPET 10000 409 SNIPPET_NOT_RELEVANT b'1d7cab62-116f-11e5-adec-e82f8395c032'
ACTION SNIPPET 10000 412 SNIPPET_NOT_RELEVANT b'564bcf4c-c4c1-11e2-9fe2-6ee52d0eb7c1'
ACTION QUERY 10000 422 Explosives dogs
ACTION SERP 10000 427 EXAMINE_SERP
ACTION SNIPPET 10000 430 SEEN_PREVIOUSLY b'65b25f34-f810-11e5-9804-537defcc3cf6'
ACTION SNIPPET 10000 433 SNIPPET_NOT_RELEVANT b'827f47e4cd11e910267b1c0fc9aae74d'
ACTION SNIPPET 10000 436 SNIPPET_NOT_RELEVANT b'06ec29d4-adc9-11e6-8f19-21a1c65d2043'
